A,B,result
Semantics of programming languages,Logic programming,0
Analysis of algorithms,Algebra,1
Scripting language,Information theory,0
Complexity class,Polynomial,1
Algorithm design,Problem solving,1
Syntax,Coding theory,0
Expert system,Computer science,1
Inter-process communication,Input/output,1
Firewall (computing),Computer network,1
Type system,Embedded system,0
Arithmetic,Linked list,0
Graphics,Abstraction (computer science),0
Numerical analysis,Logic,1
Data structure,Data,1
Bioinformatics,Computer science,1
Pushdown automata,Logic,1
Multi-core processor,Hash table,0
Denotational semantics,Thread (computer science),0
Compiler,Computer architecture,1
Scientific visualization,Image,1
Linear programming,Combinatorics,1
First-order logic,Symmetric multiprocessing,0
Differential equation,Polymorphism (computer science),0
Data mining,Approximation,0
Program optimization,Formal language,0
Combinational logic,Computer programming,0
Turing machine,Conditional probability,0
Algorithm design,Combinatorics,1
Symbol table,Mathematics,1
Economics,Lazy evaluation,0
Sentiment analysis,Mathematical optimization,1
OSI model,Arithmetic logic unit,0
Semidefinite programming,Mathematical optimization,1
Hash table,Problem solving,0
Message Passing Interface,Finite difference,0
Server (computing),Coding theory,0
Object-oriented programming,Computing,1
Document classification,Mathematics,1
GPU,Computer graphics,1
Prediction,Uncertainty,1
Performance tuning,Parametric polymorphism,0
Symmetric multiprocessing,Flow network,0
String (computer science),Shortest path problem,0
Neural network,Problem solving,1
Processor register,Entropy,0
Imperative programming,Algorithm design,0
Knowledge representation and reasoning,Sequence alignment,0
Automated theorem proving,Mathematics,1
Cryptography,Mathematical proof,1
Volume rendering,Data,1
Random walk,Spanning tree,0
Java (programming language),Data (computing),1
Kernel (computing),Interface (computing),0
Time complexity,Foundations of mathematics,1
Abstract data type,Randomness,0
Computer animation,Computer graphics,1
Computational complexity theory,Complexity,1
Object-oriented programming,Garbage collection (computer science),0
Formal language,Computer,1
Expected value,Network security,0
Motion planning,Speech recognition,1
Synchronization,Prolog,0
B-tree,Foundations of mathematics,1
Stochastic,Probability theory,1
Computational complexity theory,Object-oriented programming,0
Firewall (computing),Virtual memory,0
Telecommunications network,Information security,0
Graphical user interface,Foundations of mathematics,1
MapReduce,Computing,1
Computer simulation,Graph theory,1
Genetic algorithm,Integer,1
Spanning tree,B-tree,0
Relational database,Foundations of mathematics,1
Data structure,Context-free language,0
Query optimization,Scientific visualization,0
Recursion (computer science),Combinatorics,1
Pattern matching,Message Passing Interface,0
Lisp (programming language),Computer,1
Motion planning,Transaction processing,0
Discrete mathematics,Mathematics,1
MapReduce,Computer science,1
Image analysis,Foundations of mathematics,1
PSPACE,Automata theory,1
Spanning tree,Graph (mathematics),1
Sparse matrix,Inference,0
Web server,Digital electronics,1
Transaction processing,Suffix tree,0
Reinforcement learning,Statistical inference,1
Virtual memory,Information security,0
Spanning tree,Formal verification,0
Thread (computer science),Foundations of mathematics,0
Database management system,Digital electronics,1
Pushdown automata,Data structure,1
NP-complete,Computing,1
Mathematical proof,Graphical model,0
Recursively enumerable set,Hidden Markov model,0
Formal methods,Asymptotic analysis,1
Automata theory,Mechanical engineering,0
Embedded system,List of undecidable problems,0
Machine learning,Computer science,1
Estimation theory,Inequality (mathematics),0
Regular language,Theory of computation,1
Generic programming,Software framework,0
Parallel computing,Query optimization,0
Web search engine,Mathematical induction,1
C (programming language),Digital electronics,1
Prediction,3D modeling,0
Recommender system,Hash table,0
Monte Carlo method,Markov chain,0
Information assurance,Modular arithmetic,0
Security,Shading,0
Vulnerability (computing),Model of computation,0
Data type,Data structure,1
Natural language processing,Computer programming,1
Abstraction (computer science),Syntax,0
Knowledge representation and reasoning,Problem solving,1
First-order logic,Semidefinite programming,0
Interpolation,Algorithm,1
Authentication,Data (computing),0
Machine learning,Artificial intelligence,1
Data type,Graphical user interface,0
Computer vision,Asymptotic analysis,1
Congestion control,Mathematics,0
Computer vision,Random variable,1
Gradient descent,Foundations of mathematics,1
GPU,Dynamic memory allocation,0
Partial differential equation,Polynomial,1
Combinatorics,Cryptography,0
Python (programming language),Computing,1
Graphical model,Expected value,1
Pattern recognition,Internet Protocol Suite,0
Inter-process communication,Computer programming,1
Memory management,Synchronization,0
Computational problem,Problem solving,0
Finite difference,Floating point,1
Higher-order function,Problem solving,0
User interface design,User interface,1
Computer security,Digital electronics,1
Instruction set,Ray tracing (graphics),0
Kinematics,Floating point,0
Arithmetic,Computational learning theory,0
Virtual memory,Computer science,1
Nonlinear system,Uncertainty,0
Statistical inference,Deadlock,0
CPU cache,Computer science,1
Modular arithmetic,Personal computer,0
Query optimization,Programming language,1
Machine translation,Reason,1
Suffix tree,PageRank,0
Relational database,Relational algebra,1
Database normalization,B-tree,0
Model checking,Spanning tree,0
Image processing,Algorithm,1
Malware,Data (computing),1
Monad (functional programming),Markov chain,0
Sparse matrix,Mathematics,1
Instruction set,Computer science,1
Computer graphics,Foundations of mathematics,1
Program analysis,Digital signature,0
Graphical user interface,Matrix (mathematics),0
Bioinformatics,Abstraction (computer science),1
Operating system,Automated theorem proving,0
Cluster analysis,Number theory,1
Genetic algorithm,Problem solving,1
Random variable,Sparse matrix,0
Knowledge representation and reasoning,Computer,1
Program optimization,Computer security,0
Semidefinite programming,Lexical semantics,0
Predicate logic,High-level programming language,0
Image processing,Foundations of mathematics,0
Web service,Logic,0
Visualization (computer graphics),Polynomial,0
C (programming language),Computational complexity theory,1
Encryption,PSPACE,0
Design of experiments,Logic programming,0
Finite set,Integral,0
Decision theory,Semidefinite programming,0
Randomization,P versus NP problem,0
Machine translation,Abstraction (computer science),1
Application software,Computational chemistry,0
Query language,Automata theory,1
Fourier analysis,Sentiment analysis,0
Data mining,Database,1
Theoretical computer science,Program optimization,0
Finite difference,Algorithm,1
Machine learning,Algebra,1
Discrete mathematics,String searching algorithm,0
Logic programming,Dynamic programming,0
Denotational semantics,Complexity,0
Symbol table,Shortest path problem,0
Gradient descent,Mathematical model,1
Integral,Application software,0
Web server,Computing,1
Shortest path problem,Variable (computer science),0
Imperative programming,Computer programming,1
Natural language,Random graph,0
Visualization (computer graphics),Matrix (mathematics),1
Support vector machine,Abstraction (computer science),1
Haskell (programming language),Combinatorics,0
Computer programming,Digital electronics,1
Bioinformatics,PSPACE,0
Computer vision,Logic,1
Software engineering,Theory of computation,1
Functional programming,Perl,0
Fixed point (mathematics),Approximation,0
Statistical inference,Mathematics,1
Markov process,Combinatorics,0
Combinatorics,Arithmetic,1
Newton's method,NP-complete,0
Atomicity (database systems),Data structure,1
Microcode,Encryption,0
Computational complexity theory,Theoretical computer science,1
Variable (computer science),hypothesis testing,0
Parallel computing,Natural language processing,0
Robotics,Arithmetic,1
Imperative programming,Signal processing,0
Automata theory,Assembly language,0
Markov process,Functional programming,0
Artificial intelligence,Computer programming,1
Software framework,Geometric modeling,0
Iterative method,Floating point,1
Linear algebra,Machine translation,0
Program analysis,Graphical model,0
Software engineering,Control flow,1
Software engineering,Cryptanalysis,0
Hidden Markov model,Probability,1
Random walk,Graph theory,1
Malware,Mathematics,1
Index (database),Reinforcement learning,0
Central processing unit,Computer architecture,1
Programming paradigm,Programming language,1
Approximation algorithm,Computer science,1
String searching algorithm,Discrete mathematics,1
Calculus of variations,Abstract data type,0
Mathematical optimization,Machine translation,0
Query optimization,Database,1
C (programming language),Graph coloring,0
System programming,Operating system,1
Routing,Array data structure,0
Automatic programming,Computational complexity theory,1
Prolog,Programming language,1
Graph (mathematics),Prediction,0
Symbol table,"Best, worst and average case",0
Parsing,Theoretical computer science,1
Application programming interface,Computational science,1
Geometric modeling,Mathematical induction,1
Functional programming,Algorithm,1
Parallel algorithm,Computer programming,1
Virtual memory,Probability,0
Algorithm,Algebra,1
Reinforcement learning,Programming language,1
Formal language,Arithmetic,0
Undecidable problem,Parametric polymorphism,0
Programming style,Computing,1
Complexity,Mathematics,1
Query optimization,Computer,1
Complexity,Abstraction (computer science),1
Graphical user interface,Expected value,0
Lisp (programming language),Variable (computer science),1
Game theory,Semidefinite programming,0
Computational learning theory,SQL,0
Machine learning,Probability,1
Semantics,Natural language,1
Software engineering,Variable (computer science),1
Formal grammar,String (computer science),1
Reinforcement learning,Statistics,1
Robotics,Iterative method,0
Formal language,Data structure,1
Speech recognition,Computer programming,1
Random variable,Asymptotic analysis,0
Data type,Logic,1
Public-key cryptography,Theoretical computer science,1
OSI model,Algorithm design,0
Polymorphism (computer science),Signal processing,0
Formal verification,Computer science,1
Recursion,Integer,1
Debugging,Performance tuning,0
Query language,Pushdown automata,0
HTML,Flow network,0
Complexity class,Computational problem,1
hypothesis testing,Approximation algorithm,0
Query optimization,Superscalar,0
Database,Data structure,1
Query optimization,Algorithm design,1
Web browser,Recursion (computer science),0
Routing,Deadlock,0
Relational database,Object (computer science),1
Estimation theory,Statistical inference,1
Machine learning,Uncertainty,1
Input/output,Probability theory,0
Application software,Computer,1
Artificial intelligence,Data,1
Bioinformatics,Data structure,1
Halting problem,Finite-state machine,1
Malware,Graph (mathematics),1
Interaction design,Computer,1
Programming paradigm,Computer vision,0
Higher-order function,Decision theory,0
Newton's method,Flow network,0
Decision theory,Problem solving,1
Asymptotic analysis,Mathematical model,0
Stack (data structure),Sequence alignment,0
Prediction,Mathematics,1
Ray tracing (graphics),Fixed point (mathematics),0
Arithmetic,Arithmetic,0
Finite set,Haskell (programming language),0
Data warehouse,Random graph,0
Unsupervised learning,Graph theory,1
Natural language processing,Machine learning,1
P versus NP problem,Abstraction (computer science),1
Software design,Parallel algorithm,0
OSI model,Computer science,1
Cluster analysis,Mathematics,1
Very long instruction word,Database management system,0
Finite difference,Parsing,0
Inheritance (object-oriented programming),Design pattern (computer science),1
Rendering (computer graphics),Computer,1
Autonomous robot,Artificial intelligence,1
Structured programming,Linear programming,0
Geometric modeling,Randomization,0
Data analysis,Problem solving,1
Random graph,Visualization (computer graphics),0
C++,Design pattern (computer science),1
Index (database),Database management system,1
Computer,Monte Carlo method,0
OSI model,Assembly language,0
Distributed computing,Debugging,0
Computational geometry,Computing,1
Control flow,Computer,1
Recursion (computer science),Stochastic process,0
P versus NP problem,Computability,1
Python (programming language),Computer programming,1
Software engineering,Wavelet,0
Shading,Complexity,0
Monad (functional programming),Programming paradigm,0
P versus NP problem,Iterative method,1
Haskell (programming language),Recursion,1
Cryptography,Computability,1
Sparse matrix,Information security,0
3D modeling,Combinatorics,1
Scope (computer science),Computer science,1
Quantum computer,Theory of computation,1
Graph coloring,Concurrency control,0
Query optimization,CPU cache,0
"Best, worst and average case",Support vector machine,0
First-order logic,Support vector machine,0
Cryptography,Algebra,1
Database management system,Software development,0
Social network,Unsupervised learning,0
Recursion (computer science),Model checking,0
Software design,Information security,0
String (computer science),Computer science,1
Predicate logic,Nonlinear system,0
Automated theorem proving,Mathematical proof,1
Autonomous robot,Computer science,1
Statistical inference,Quantum cryptography,0
Rendering (computer graphics),Array data structure,0
Pattern recognition,Probability,1
Data type,Discrete mathematics,1
Theory of computation,Computer science,1
Software framework,Computer,1
MATLAB,Game theory,0
Neural network,Programming language,1
Semantics of programming languages,Computer programming,1
Modular arithmetic,Microprocessor,0
Scripting language,Computational science,1
Denotational semantics,Computability,1
Computer multitasking,Personal computer,0
Malware,Linear programming,0
Cloud computing,Context-free language,0
Computer science,Digital electronics,1
hypothesis testing,Inequality (mathematics),0
Compiler,Logic,1
Undecidable problem,Theory of computation,1
Modular programming,Programming language,1
Human-computer interaction,User interface,0
Telecommunications network,Scope (computer science),0
NP-complete,Computer science,1
Structured programming,Computer science,1
Spanning tree,Graph theory,1
Stack (data structure),Part-of-speech tagging,0
Program analysis,Computer,1
Recursion,Computer science,1
Random walk,Polynomial,0
C++,Computational science,1
Cryptography,Algorithm design,1
Concurrency (computer science),Machine translation,0
Ray tracing (graphics),Graphics,1
"Best, worst and average case",Number theory,1
Natural language processing,Combinational logic,0
Programming language,Digital electronics,1
String searching algorithm,Computer,1
Randomized algorithm,Combinatorics,1
P versus NP problem,Discrete mathematics,1
Geometric modeling,Martingale (probability theory),0
MATLAB,Computability,1
HTML,Encryption,0
Computational geometry,Analysis of algorithms,1
Divide and conquer algorithm,Mathematics,1
Design of experiments,Instruction set,0
Neural network,Computer programming,1
Modular arithmetic,Programming language,0
Undecidable problem,Scope (computer science),0
Economics,Communication,0
Economics,Integer,1
Robot,Mathematics,1
Digital signature,Abstraction (computer science),1
NP (complexity),Computation,1
Parametric polymorphism,Debugging,0
Embedded system,Computer programming,1
Markov process,Interpolation,0
Superscalar,Vector processor,1
Nonlinear system,Analysis of algorithms,0
High-level programming language,Computational geometry,0
Regular expression,Sequence alignment,0
Database transaction,Variable (computer science),0
Automatic programming,Algorithm,1
Computability,Computer,1
Mathematical induction,Probability theory,0
Computer architecture,Computer,1
Transaction processing,Computational science,1
Unix,Computer programming,1
Internet Protocol Suite,Control flow,0
Distributed computing,Computability,1
Foundations of mathematics,Machine translation,0
Spanning tree,Mathematics,1
Object-oriented programming,Entropy,0
Analysis of algorithms,Computing,1
Input/output,Computer,1
Digital electronics,Concurrent computing,0
Recursion (computer science),Computation,1
Database management system,Monad (functional programming),0
Visualization (computer graphics),Foundations of mathematics,1
Performance tuning,Mechanical engineering,0
Feature extraction,Abstraction (computer science),1
Programming paradigm,Web search engine,0
Information theory,Ordinary differential equation,0
Algorithm design,Computing,1
Programmer,Digital signature,0
Mathematical induction,Memory hierarchy,0
Poisson distribution,Expected value,1
Randomization,Multi-core processor,0
Index (database),First-order logic,0
Monte Carlo method,Mathematics,1
Quantum mechanics,Signal processing,0
Recursively enumerable set,Logic,1
Parallel computing,Recursion (computer science),0
Recursion (computer science),Logic,1
Parsing,Mathematical induction,1
Packet switching,Rendering (computer graphics),0
Relational model,Computer science,1
Formal methods,Algorithm,1
Garbage collection (computer science),Graph theory,1
Communication,Differential equation,0
Software engineering,Complexity,1
Program optimization,Mathematics,1
Index (database),Graph theory,1
Martingale (probability theory),Conditional probability,1
User interface design,Digital electronics,1
Vulnerability (computing),Programming paradigm,0
Transaction processing,Analysis of algorithms,1
Time complexity,Automated planning and scheduling,0
Packet switching,Symbol table,0
Data structure,Least squares,0
Data structure,Mathematics,1
Compiler,Computability,1
Motion planning,Lisp (programming language),0
Computer network,Foundations of mathematics,1
Software design,Computational science,1
Data (computing),Ray tracing (graphics),0
Perl,Lazy evaluation,0
Digital signature,Foundations of mathematics,1
Parallel computing,Computer science,1
Database transaction,Firewall (computing),0
Distributed algorithms,Integer,1
C (programming language),Algorithm,1
3D computer graphics,Polynomial,1
Correlation and dependence,Expected value,1
Database,Input/output,1
Application software,Digital electronics,1
Parametric polymorphism,Computer programming,1
Computability,Computation,0
C (programming language),Perl,0
Logic,Context-free language,0
Embedded system,Peer-to-peer,0
Combinational logic,ML (programming language),0
ML (programming language),Geometric modeling,0
Social network,Computational science,1
Floating point,Digital electronics,0
JavaScript,Formal methods,0
Integral,Shading,0
Machine learning,Social network,0
Lisp (programming language),Software framework,0
Complexity class,Computational complexity theory,1
Microcode,Probability,0
Index (database),Operating system,1
Data mining,Foundations of mathematics,1
Cryptographic hash function,Formal grammar,0
Computational problem,Logic,1
Congestion control,Recursively enumerable set,0
Correlation and dependence,Data,1
Machine learning,Graph theory,1
Signal processing,Suffix tree,0
Inheritance (object-oriented programming),Telecommunications network,0
Software design,Computing,1
Combinatorics,Parametric polymorphism,0
Symmetric multiprocessing,Parallel computing,1
Robot,Computer programming,1
Database management system,Logic,1
Computational geometry,Computational complexity theory,1
Rendering (computer graphics),Recursively enumerable set,0
Computer graphics,Mathematics,1
Combinatorics,Document classification,0
Context-free grammar,Statistics,0
Cluster analysis,Computer simulation,0
Web service,Flow network,0
Garbage collection (computer science),Finite difference,0
Microprocessor,Graph (mathematics),0
Reinforcement learning,Markov chain,1
Logic programming,Iterative method,0
Operating system,Computing,1
Information security,Introduction to Algorithms,0
Software development,Object (computer science),1
Relational algebra,Robot,0
Mathematical optimization,Instruction set,0
Regular expression,Halting problem,0
Database,Operating system,1
Scripting language,Automata theory,1
Model of computation,B-tree,0
Programming paradigm,Discrete mathematics,1
HTML,Arithmetic,1
Debugging,Computer,1
Recurrence relation,3D modeling,0
Inter-process communication,Programming paradigm,0
Genetic algorithm,Interaction design,0
GPU,Image,1
GPU,Vulnerability (computing),0
Polynomial,Mathematics,1
Computer multitasking,Debugging,0
Computational science,Conditional probability,0
Distributed computing,Computer,1
Software engineering,Computational complexity theory,1
Linear programming,Foundations of mathematics,1
Database management system,Computer,1
Robotics,Artificial intelligence,1
Compiler optimization,Poisson distribution,0
Martingale (probability theory),Very long instruction word,0
User interface,Computational science,1
Computer animation,Image,1
Computer simulation,Boundary value problem,0
3D computer graphics,Theoretical computer science,1
Algebra,Image processing,0
Modular programming,Context-free grammar,0
Peer-to-peer,Graph (mathematics),1
Pattern matching,Iterative method,0
Image processing,Model of computation,0
Unsupervised learning,Geometry,0
Undecidable problem,Polymorphism (computer science),0
NP (complexity),Image processing,0
String searching algorithm,Software framework,0
Turing machine,Foundations of mathematics,1
Concurrent computing,Logic programming,0
Computer animation,Foundations of mathematics,1
ML (programming language),Knowledge representation and reasoning,0
Web search engine,Integer,1
Quantum computer,Number theory,1
Profiling (computer programming),Arithmetic,1
Computer animation,Number theory,0
Software testing,Automata theory,1
Python (programming language),Type system,0
Decision theory,Random variable,1
Reason,Approximation algorithm,0
Software design,Approximation algorithm,0
Variable (computer science),Computational science,1
MapReduce,Exponential family,0
Scope (computer science),Computer architecture,0
Telecommunications network,String searching algorithm,0
Automated theorem proving,Time complexity,0
Database normalization,Economics,0
Automata theory,Sparse matrix,0
Vector processor,Lazy evaluation,0
Automatic programming,Computer programming,1
Feature extraction,Integer,1
Cryptanalysis,Parallel algorithm,0
Time complexity,Polynomial,1
Compiler,Computational science,1
Dynamic programming,Recursively enumerable set,0
Denotational semantics,Randomization,0
Amortized analysis,Stack (data structure),0
SQL,Computability,1
Neural network,Statistics,1
Type system,NP (complexity),0
Time complexity,Finite element method,0
Computation,Undecidable problem,0
Procedural programming,Computer,1
Probability,Foundations of mathematics,1
Quantum cryptography,Authentication,1
Information theory,Kinematics,0
Programming language,Image processing,0
Cluster analysis,Imperative programming,0
First-order logic,Natural language,0
Machine translation,Polynomial,1
Monte Carlo method,Computing,1
Natural language,Computational geometry,0
Deadlock,Cache coherence,0
Approximation algorithm,Graph theory,1
Approximation,Halting problem,0
Computer architecture,Parametric polymorphism,0
Mathematical optimization,Iterative method,1
Random graph,Finite set,1
Graph theory,Algebra,1
Kernel (computing),Central processing unit,1
Gradient descent,Computing,1
Program optimization,Python (programming language),0
Formal methods,Artificial intelligence,0
Computer graphics,Computational complexity theory,1
Image processing,Computer science,1
Theoretical computer science,Spanning tree,0
Concurrency control,Relational algebra,1
Semantics,Dynamic programming,0
Mutual exclusion,Monad (functional programming),0
Operating system,Data structure,1
Linear programming,Random variable,1
Amortized analysis,Computer architecture,0
Debugging,Computational complexity theory,1
Computational geometry,Least squares,0
Polymorphism (computer science),Computational complexity theory,0
C++,Robotics,0
Procedural programming,Computer architecture,0
Stochastic process,Volume rendering,0
Machine translation,Semantics of programming languages,0
Context-free grammar,Foundations of mathematics,1
Iterative method,Dynamic programming,0
Perl,Programming language,1
Cache coherence,Web server,0
Control flow,Computer programming,1
Nonlinear system,Image analysis,0
Data structure,Discrete mathematics,1
Interaction design,Pipeline (computing),0
Reinforcement learning,Expected value,1
String searching algorithm,Computation,1
Support vector machine,Computer science,1
Java (programming language),Computing,1
Congestion control,Randomness,0
Algorithm,Cryptanalysis,0
Information theory,Mathematics,1
GPU,Model checking,0
Theory of computation,Foundations of mathematics,1
Computer vision,Integer,1
Parsing,Automata theory,1
Signal processing,Data warehouse,0
Software development,Design pattern (computer science),1
Control flow,Scope (computer science),1
Public-key cryptography,Mechanical engineering,0
SQL,Kalman filter,0
Deadlock,Kinematics,0
Finite element method,Question answering,0
Digital signature,Mathematical proof,0
Model checking,Logic,1
Object-oriented programming,Computer,1
Graph coloring,HTML,0
Web service,Server (computing),0
Software testing,Arithmetic,1
Computer science,Eigenvalues and eigenvectors,0
Monad (functional programming),Statistical inference,0
Computational geometry,Personal computer,1
Feature extraction,Iterative method,1
Quantum computer,Haskell (programming language),0
Genetic algorithm,Human-computer interaction,0
Python (programming language),Data,1
Shortest path problem,Graph theory,1
Application software,Reinforcement learning,0
Stochastic,Authentication,0
File system,Reason,0
Message passing,Discrete mathematics,1
Markov chain,Hidden Markov model,0
Profiling (computer programming),Sufficient statistic,0
Lisp (programming language),Firewall (computing),0
Cache coherence,Decision theory,0
Amortized analysis,Data,1
Object-oriented programming,Integer,1
Concurrent computing,Arithmetic,1
Programming style,Computer science,1
Communications protocol,Iterative method,1
Approximation,Game theory,0
Run time (program lifecycle phase),Unix,0
Logic programming,Stochastic process,0
Performance tuning,Embedded system,0
Conditional probability,Application programming interface,0
Randomized algorithm,Random variable,1
Python (programming language),Control flow,1
Haskell (programming language),Computing,1
Quantum cryptography,Computer science,1
Visualization (computer graphics),Mathematics,1
Mechanical engineering,Linear system,0
Mathematics,Reinforcement learning,0
Ordinary differential equation,Approximation,1
Database management system,Microprocessor,0
Index (database),Object (computer science),1
GPU,Data,1
Parsing,Programming language,1
Compiler,Graph theory,1
Formal methods,Data structure,1
Quantum computer,Scalability,0
Conditional probability,Perl,0
Amortized analysis,Fixed point (mathematics),0
Randomness,Computational complexity theory,0
Turing machine,Ray tracing (graphics),0
Ordinary differential equation,Mathematics,1
Programmer,Kalman filter,0
Economics,Linear algebra,1
JavaScript,Lisp (programming language),0
Shading,Randomness,0
Procedural programming,Robot,0
Run time (program lifecycle phase),Computer,1
Number theory,Data type,0
Nonlinear system,Image processing,0
Design pattern (computer science),Formal methods,0
Monte Carlo method,Random walk,0
Public-key cryptography,Computation,1
Object-oriented programming,Computer programming,1
Linear programming,Logic,1
Internet,Computer science,1
Parallel computing,Computing,1
Algebra,Cryptanalysis,0
Computer architecture,Halting problem,0
Suffix tree,MapReduce,0
Scheduling (computing),Computation,1
SQL,Sequence alignment,0
Human-computer interaction,Cache coherence,0
Cryptanalysis,Computer security,1
System programming,Computer programming,1
Concurrency control,Mathematical induction,1
Divide and conquer algorithm,Regular language,0
Round-off error,Mathematics,1
Interpolation,Application programming interface,0
Run time (program lifecycle phase),Foundations of mathematics,1
Divide and conquer algorithm,Abstraction (computer science),1
Scientific modelling,Social network,0
Computability,Design pattern (computer science),0
Scalability,Java (programming language),1
Finite-state machine,Central processing unit,0
Least squares,Algorithm,1
Graphical model,Partial differential equation,0
Program optimization,Integer,1
Finite element method,Inheritance (object-oriented programming),0
Integral,List of undecidable problems,0
Undecidable problem,Computation,1
Shading,Quantum computer,0
Parallel algorithm,Foundations of mathematics,1
Pushdown automata,Computability,1
User interface design,Computer programming,1
Numerical analysis,Integer,1
Computer security,Mathematics,1
Deadlock,Wireless sensor network,0
Mathematics,Foundations of mathematics,1
Computer animation,Geometry,1
Artificial intelligence,Partial differential equation,0
Congestion control,System programming,0
Software framework,Computer programming,1
Kalman filter,Tensor,0
Transaction processing,Number theory,1
Distributed computing,Algorithm,1
Computational geometry,Theoretical computer science,1
Peer-to-peer,Question answering,0
3D modeling,Abstraction (computer science),1
Semantics of programming languages,Data structure,1
Scalability,Logic,0
Divide and conquer algorithm,Control flow,1
Correlation and dependence,Synchronization,0
Finite set,Functional programming,0
Number theory,Assembly language,0
Gradient descent,Mathematical induction,1
Robotics,Discrete mathematics,1
Expert system,Debugging,0
Software engineering,Computer science,1
Visualization (computer graphics),Data,1
Relational database,Arithmetic,1
Signal processing,Gradient descent,0
Garbage collection (computer science),Inference,0
Undecidable problem,Computing,1
Quantum cryptography,Number theory,1
Relational model,Kernel (computing),0
Gradient descent,Logic,1
Coding theory,Finite set,0
Compiler,Computing,1
Cloud computing,Floating point,0
Spanning tree,Semantics of programming languages,0
Virtual memory,Computer,1
Cluster analysis,Halting problem,0
Distributed computing,Mathematics,1
Communication,Server (computing),0
Garbage collection (computer science),Python (programming language),0
Instruction set,Very long instruction word,0
Bayesian,Autonomous robot,0
Computing,Analysis of algorithms,0
Concurrency (computer science),Shared memory,1
Recursively enumerable set,Symmetric multiprocessing,0
Public-key cryptography,Mathematical proof,1
Network security,Index (database),0
Transaction processing,Bayesian,0
Computer vision,Computational science,1
Semantics,Index (database),0
Markov chain,Random graph,0
Part-of-speech tagging,Array data structure,0
Database system,Operating system,1
Perl,Assembly language,1
Object (computer science),Software design,0
Symbol table,Computer science,1
Concurrent computing,Complexity,0
C++,Computational complexity theory,1
Automated planning and scheduling,Approximation algorithm,0
Image analysis,Algorithm,0
Relational algebra,Mobile device,0
Computer multitasking,Expert system,0
Iterative method,Logic programming,0
Recursively enumerable set,Mathematical induction,1
Dynamic programming,Algorithm,1
Artificial intelligence,Programming language,1
Finite-state machine,Computer,1
Computer architecture,Computer science,1
Mobile device,Routing,0
Parametric polymorphism,Data type,1
Peer-to-peer,Cluster analysis,0
Quantum mechanics,Hidden line removal,0
Parallel computing,Time complexity,1
Flow network,Concurrent computing,0
Lazy evaluation,Computer,1
Information theory,Higher-order function,0
Distributed algorithms,Semantics,0
Prolog,OSI model,0
Public-key cryptography,Polynomial,1
Variable (computer science),Cloud computing,0
Computer security,Linear algebra,0
Image analysis,Personal computer,0
Divide and conquer algorithm,Iterative method,1
Autonomous robot,Kinematics,1
Computer vision,Vector processor,0
Randomized algorithm,Introduction to Algorithms,1
Compiler,Foundations of mathematics,1
Programming paradigm,Data,1
Question answering,Lexical analysis,0
Procedural programming,Graph theory,1
OSI model,Data (computing),1
Computer science,Number theory,1
Logic programming,Computational science,1
Neural network,Statistical inference,1
Mathematical optimization,Theoretical computer science,1
Inheritance (object-oriented programming),Garbage collection (computer science),0
SQL,CPU cache,0
Mobile device,Parsing,0
Personal computer,Big data,0
Martingale (probability theory),Data (computing),0
Computability,Image processing,0
Firewall (computing),Interpolation,0
HTML,Model checking,0
Algorithm design,Analysis of algorithms,1
hypothesis testing,Coding theory,0
Partial differential equation,Floating point,1
Computer programming,Mathematical induction,1
Queue (data structure),Programming paradigm,0
Shortest path problem,Discrete mathematics,1
OSI model,User interface design,0
Computational complexity theory,Problem solving,1
Internet Protocol Suite,Boundary value problem,0
User interface design,Computational science,0
Pushdown automata,Theory of computation,1
Arithmetic,Sequence alignment,0
Computer vision,Number theory,1
Martingale (probability theory),Algebra,1
Unsupervised learning,Algorithm design,1
Software engineering,Object (computer science),1
File system,Routing,0
Computing,Data,0
Instruction set,Randomization,0
Formal language,Number theory,1
Signal processing,Computer vision,0
MATLAB,Genetic algorithm,0
SQL,Firewall (computing),0
Computational learning theory,Support vector machine,0
Index (database),Formal grammar,0
Hidden Markov model,Expected value,1
Database design,Predicate logic,1
Input/output,Digital electronics,1
Stochastic process,Randomness,1
Lock (computer science),Linear system,0
Profiling (computer programming),Iterative method,1
Abstract data type,Foundations of mathematics,1
Sufficient statistic,Inference,0
Dynamic programming,Number theory,1
Robotics,Robot,1
Neural network,Scalability,0
Computer graphics,Image,1
Software testing,Programming language,1
Database normalization,Theory of computation,0
Fast Fourier transform,Signal processing,1
Compiler,Algorithm,1
Web service,Computer network,1
Logic programming,Computer programming,1
Randomized algorithm,Logic,1
Operating system,Computer,1
Relational algebra,Entropy,0
Computing,P versus NP problem,0
Game theory,Arithmetic,1
Dynamic programming,Polymorphism (computer science),0
Vector processor,Decision theory,0
Symmetric multiprocessing,Congestion control,0
Ray tracing (graphics),Data,1
Decision theory,Mathematical induction,1
Machine translation,Finite difference,0
Shading,Round-off error,0
Finite element method,Polynomial,1
Decision theory,Server (computing),0
Congestion control,Data (computing),1
Array data structure,Software development,0
Reinforcement learning,Logic,1
Database design,PageRank,0
Functional programming,Logic,1
Programming paradigm,Automata theory,1
Bayesian network,Multi-core processor,0
Expert system,Combinatorics,0
Ray tracing (graphics),Support vector machine,0
Logic programming,Algorithm,1
